step,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@100,MAP@1,MAP@3,MAP@5,MAP@10,MAP@100,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100,P@1,P@3,P@5,P@10,P@100
0,0.42415,0.39319,0.36829,0.33273,0.34108,0.05615,0.09761,0.1127,0.12692,0.16737,0.05615,0.10984,0.13474,0.16068,0.3888,0.43963,0.37152,0.31517,0.23963,0.09505
16384,0.43034,0.39445,0.36937,0.33399,0.34138,0.05637,0.09772,0.11285,0.12734,0.16748,0.05637,0.10984,0.13478,0.16177,0.3888,0.44582,0.37152,0.31579,0.24025,0.09505
32768,0.43034,0.39372,0.36995,0.33452,0.34138,0.05637,0.0977,0.1129,0.12741,0.16746,0.05637,0.10982,0.13484,0.1625,0.3888,0.44582,0.37049,0.31703,0.24087,0.09505
49152,0.42879,0.39327,0.36901,0.33419,0.34112,0.05627,0.0976,0.11273,0.12724,0.16727,0.05627,0.10982,0.13478,0.1625,0.3888,0.44272,0.37049,0.31641,0.24087,0.09505
65536,0.43189,0.39287,0.36942,0.33443,0.34133,0.05632,0.09776,0.11287,0.12742,0.16742,0.05632,0.10971,0.13478,0.16248,0.3888,0.44582,0.36945,0.31641,0.24056,0.09505
81920,0.42879,0.39263,0.36904,0.334,0.34127,0.05626,0.09772,0.11286,0.12741,0.16738,0.05626,0.10971,0.13478,0.16242,0.3888,0.44272,0.36945,0.31641,0.24025,0.09505
98304,0.42724,0.39141,0.36883,0.33328,0.34098,0.05626,0.09758,0.1128,0.12719,0.16728,0.05626,0.10962,0.13483,0.16199,0.3888,0.44272,0.36842,0.31703,0.23932,0.09505
114688,0.42724,0.39092,0.36881,0.33338,0.34099,0.05626,0.09758,0.11321,0.12737,0.16735,0.05626,0.10962,0.13534,0.16216,0.3888,0.44272,0.36842,0.31703,0.23963,0.09505
131072,0.43034,0.39044,0.36927,0.33324,0.34094,0.05631,0.0974,0.11316,0.12731,0.16723,0.05631,0.10911,0.13535,0.16218,0.3888,0.44582,0.36739,0.31765,0.23932,0.09505
147456,0.43034,0.39025,0.36914,0.33335,0.34089,0.05631,0.09738,0.11315,0.12724,0.1672,0.05631,0.10911,0.13535,0.16171,0.3888,0.44582,0.36739,0.31765,0.23963,0.09505
163840,0.43034,0.39098,0.36984,0.33328,0.34096,0.05631,0.09742,0.11336,0.12726,0.16724,0.05631,0.10916,0.13557,0.16158,0.3888,0.44582,0.36842,0.31827,0.23932,0.09505
180224,0.43034,0.39171,0.37032,0.3332,0.341,0.05631,0.09763,0.11342,0.12723,0.16725,0.05631,0.10947,0.13558,0.16149,0.3888,0.44582,0.36945,0.31889,0.23901,0.09505
196608,0.42724,0.39034,0.36932,0.33263,0.34079,0.05626,0.09745,0.11338,0.12714,0.16717,0.05626,0.10925,0.13562,0.1613,0.3888,0.44272,0.36842,0.31827,0.2387,0.09505
212992,0.42724,0.39083,0.36897,0.33245,0.34079,0.05626,0.0975,0.11319,0.12707,0.16714,0.05626,0.10932,0.1351,0.16123,0.3888,0.44272,0.36945,0.31765,0.23839,0.09505
229376,0.42724,0.39028,0.36902,0.33222,0.34066,0.05626,0.0975,0.11327,0.12698,0.1671,0.05626,0.10928,0.13537,0.16127,0.3888,0.44272,0.36945,0.31765,0.23839,0.09505
245760,0.42879,0.39083,0.36945,0.33245,0.34076,0.05635,0.09755,0.11332,0.127,0.16713,0.05635,0.10928,0.13537,0.16127,0.3888,0.44582,0.36945,0.31765,0.23839,0.09505
262144,0.42879,0.38955,0.36951,0.33218,0.34066,0.05635,0.09742,0.11336,0.12694,0.16707,0.05635,0.1091,0.13544,0.16121,0.3888,0.44582,0.36739,0.31827,0.23808,0.09505
278528,0.42879,0.38829,0.3695,0.33211,0.34065,0.05635,0.09744,0.11342,0.12697,0.1671,0.05635,0.10901,0.13544,0.1612,0.3888,0.44582,0.36533,0.31827,0.23808,0.09505
294912,0.42879,0.38829,0.37031,0.33228,0.34063,0.05635,0.09744,0.1135,0.12699,0.16708,0.05635,0.10901,0.13556,0.16129,0.3888,0.44582,0.36533,0.3195,0.23839,0.09505
311296,0.42879,0.38788,0.36977,0.33376,0.34036,0.05635,0.09719,0.11344,0.1274,0.16689,0.05635,0.10901,0.13581,0.16748,0.3888,0.44582,0.36533,0.3195,0.23901,0.09505
327680,0.42879,0.38716,0.36965,0.33366,0.34032,0.05635,0.09716,0.11342,0.12736,0.16685,0.05635,0.10896,0.13581,0.16748,0.3888,0.44582,0.36429,0.3195,0.23901,0.09505
344064,0.42879,0.38716,0.36965,0.33348,0.34033,0.05635,0.09716,0.11342,0.12736,0.16684,0.05635,0.10896,0.13581,0.16747,0.3888,0.44582,0.36429,0.3195,0.2387,0.09505
360448,0.42879,0.38716,0.36965,0.33295,0.34029,0.05635,0.09716,0.11341,0.12734,0.16683,0.05635,0.10896,0.13581,0.16723,0.3888,0.44582,0.36429,0.3195,0.23808,0.09505
376832,0.42879,0.38697,0.36927,0.3332,0.34022,0.05635,0.09715,0.11338,0.12735,0.16677,0.05635,0.10896,0.13576,0.16734,0.3888,0.44582,0.36429,0.31889,0.2387,0.09505
393216,0.42879,0.38624,0.36851,0.33247,0.34009,0.05635,0.09663,0.11299,0.12712,0.16659,0.05635,0.10818,0.13532,0.16718,0.3888,0.44582,0.36326,0.31765,0.23777,0.09505
